639-1 ,639-2/T ,639-2/B ,Language name 
lu ,lub ,lub ,Luba-Katanga 
lv ,lav ,lav ,Latvian 
mg ,mlg ,mlg ,Malagasy 
mh ,mah ,mah ,Marshallese 
mi ,mri ,mao ,Maori 
mk ,mkd ,mac ,Macedonian 
ml ,mal ,mal ,Malayalam 
mn ,mon ,mon ,Mongolian 
mr ,mar ,mar ,Marathi
ms ,msa ,may ,Malay
mt ,mlt ,mlt ,Maltese 
my ,mya ,bur ,Burmese 
na ,nau ,nau ,Nauru 
nb ,nob ,nob ,Norwegian Bokmål 
nd ,nde ,nde ,North Ndebele 
ne ,nep ,nep ,Nepali 
ng ,ndo ,ndo ,Ndonga 
nl ,nld ,dut ,Dutch
no ,nor ,nor ,Norwegian 
nr ,nbl ,nbl ,South Ndebele 
nv ,nav ,nav ,Navajo
ny ,nya ,nya ,Chichewa; Chewa; Nyanja 
oc ,oci ,oci ,Occitan
oj ,oji ,oji ,Ojibwe
om ,orm ,orm ,Oromo 
or ,ori ,ori ,Oriya 
os ,oss ,oss ,Ossetian
pa ,pan ,pan ,Panjabi
pi ,pli ,pli ,Pali 
pl ,pol ,pol ,Polish
ps ,pus ,pus ,Pashto
pt ,por ,por ,Portuguese 
qu ,que ,que ,Quechua
rm ,roh ,roh ,Romansh 
rn ,run ,run ,Kirundi 
ro ,ron ,rum ,Romanian 
ru ,rus ,rus ,Russian 
rw ,kin ,kin ,Kinyarwanda 
sa ,san ,san ,Sanskrit 
sc ,srd ,srd ,Sardinian 
sd ,snd ,snd ,Sindhi
se ,sme ,sme ,Northern Sami 
sg ,sag ,sag ,Sango 
si ,sin ,sin ,Sinhala
sk ,slk ,slo ,Slovak
sl ,slv ,slv ,Slovene
sm ,smo ,smo ,Samoan 
sn ,sna ,sna ,Shona 
so ,som ,som ,Somali
sq ,sqi ,alb ,Albanian 
sr ,srp ,srp ,Serbian 
ss ,ssw ,ssw ,Swati 
st ,sot ,sot ,Southern Sotho 
su ,sun ,sun ,Sundanese 
sv ,swe ,swe ,Swedish 
sw ,swa ,swa ,Swahili 
ta ,tam ,tam ,Tamil 
te ,tel ,tel ,Telugu 
tg ,tgk ,tgk ,Tajik
th ,tha ,tha ,Thai 
ti ,tir ,tir ,Tigrinya 
tk ,tuk ,tuk ,Turkmen
tl ,tgl ,tgl ,Tagalog
tn ,tsn ,tsn ,Tswana 
to ,ton ,ton ,Tonga (Tonga Islands) 
tr ,tur ,tur ,Turkish 
ts ,tso ,tso ,Tsonga 
tt ,tat ,tat ,Tatar
tw ,twi ,twi ,Twi 
ty ,tah ,tah ,Tahitian 
ug ,uig ,uig ,Uyghur
uk ,ukr ,ukr ,Ukrainian 
ur ,urd ,urd ,Urdu 
uz ,uzb ,uzb ,Uzbek
ve ,ven ,ven ,Venda 
vi ,vie ,vie ,Vietnamese 
vo ,vol ,vol ,Volapuk 
wa ,wln ,wln ,Walloon 
wo ,wol ,wol ,Wolof 
xh ,xho ,xho ,Xhosa 
yi ,yid ,yid ,Yiddish 
yo ,yor ,yor ,Yoruba 
za ,zha ,zha ,Zhuang
zh ,zho ,chi ,Chinese
zu ,zul ,zul ,Zulu 
