Hobby,Class,Type,img
Vacation,General,Outdoors,
Vegetable farming,General,Outdoors,
Videography,General,Outdoors,
Vehicle restoration,General,Outdoors,
Walking,General,Outdoors,
Water sports,General,Outdoors,
Astronomy,General,Educational,
Science and technology studies,General,Educational,
Biology,General,Educational,
Chemistry,General,Educational,
Electrochemistry,General,Educational,
Physics,General,Educational,
Psychology,General,Educational,
Sports science,General,Educational,
Social studies,General,Educational,
Geography,General,Educational,
History,General,Educational,
Mathematics,General,Educational,
Railway studies,General,Educational,
Action figure,Collection,Indoors,
Antiquing,Collection,Indoors,
Ant-keeping,Collection,Indoors,
Art collecting,Collection,Indoors,
Book collecting,Collection,Indoors,
Button collecting,Collection,Indoors,
Cartophily (card collecting),Collection,Indoors,
Coin collecting,Collection,Indoors,
Comic book collecting,Collection,Indoors,
Deltiology (postcard collecting),Collection,Indoors,
Die-cast toy,Collection,Indoors,
Dolls,Collection,Indoors,
Element collecting,Collection,Indoors,
Ephemera collecting,Collection,Indoors,
Fusilately (phonecard collecting),Collection,Indoors,
Knife collecting,Collection,Indoors,
Lotology (lottery ticket collecting),Collection,Indoors,
Movie and movie memorabilia collecting,Collection,Indoors,
Fingerprint collecting,Collection,Indoors,
Perfume,Collection,Indoors,
Phillumeny,Collection,Indoors,
Pin (lapel),Collection,Indoors,
Radio-controlled model,Collection,Indoors,
Rail transport modelling,Collection,Indoors,
Record collecting,Collection,Indoors,
Rock tumbling,Collection,Indoors,
Scutelliphily,Collection,Indoors,
Shoes,Collection,Indoors,
Slot car,Collection,Indoors,
Sports memorabilia,Collection,Indoors,
Stamp collecting,Collection,Indoors,
Stuffed toy collecting,Collection,Indoors,
Tea bag collecting,Collection,Indoors,
Ticket collecting,Collection,Indoors,
Toys,Collection,Indoors,
Transit map collecting,Collection,Indoors,
Video game collecting,Collection,Indoors,
Vintage cars,Collection,Indoors,
Vintage clothing,Collection,Indoors,
Vinyl Records,Collection,Indoors,
Antiquities,Collection,Outdoors,
Auto audiophilia,Collection,Outdoors,
Flower collecting and pressing,Collection,Outdoors,
Fossil hunting,Collection,Outdoors,
Insect collecting,Collection,Outdoors,
Magnet fishing,Collection,Outdoors,
Metal detecting,Collection,Outdoors,
Mineral collecting,Collection,Outdoors,
Rock balancing,Collection,Outdoors,
Sea glass collecting,Collection,Outdoors,
Seashell collecting,Collection,Outdoors,
Stone collecting,Collection,Outdoors,
Animal fancy,Competitive,Indoors,
Axe throwing,Competitive,Indoors,
Backgammon,Competitive,Indoors,
Badminton,Competitive,Indoors,
Baton twirling,Competitive,Indoors,
Beauty pageants,Competitive,Indoors,
Billiards,Competitive,Indoors,
Bowling,Competitive,Indoors,
Boxing,Competitive,Indoors,
Bridge,Competitive,Indoors,
Checkers (draughts),Competitive,Indoors,
Cheerleading,Competitive,Indoors,
Chess,Competitive,Indoors,
Color guard,Competitive,Indoors,
Cribbage,Competitive,Indoors,
Curling,Competitive,Indoors,
Dancing,Competitive,Indoors,
Darts,Competitive,Indoors,
Debate,Competitive,Indoors,
Dominoes,Competitive,Indoors,
Eating,Competitive,Indoors,
Esports,Competitive,Indoors,
Fencing,Competitive,Indoors,
Go,Competitive,Indoors,
Gymnastics,Competitive,Indoors,
Ice hockey,Competitive,Indoors,
Ice skating,Competitive,Indoors,
Judo,Competitive,Indoors,
Jujitsu,Competitive,Indoors,
Kabaddi,Competitive,Indoors,
Knowledge/word games,Competitive,Indoors,
Laser tag,Competitive,Indoors,
Longboarding,Competitive,Indoors,
Mahjong,Competitive,Indoors,
Marbles,Competitive,Indoors,
Martial arts,Competitive,Indoors,
Model racing,Competitive,Indoors,
Model United Nations,Competitive,Indoors,
Poker,Competitive,Indoors,
Pool,Competitive,Indoors,
Role-playing games,Competitive,Indoors,
Shogi,Competitive,Indoors,
Slot car racing,Competitive,Indoors,
Speedcubing,Competitive,Indoors,
Sport stacking,Competitive,Indoors,
Table football,Competitive,Indoors,
Table tennis,Competitive,Indoors,
Volleyball,Competitive,Indoors,
Weightlifting,Competitive,Indoors,
Wrestling,Competitive,Indoors,
Airsoft,Competitive,Outdoors,
Archery,Competitive,Outdoors,
Association football,Competitive,Outdoors,
Australian rules football,Competitive,Outdoors,
Auto racing,Competitive,Outdoors,
Baseball,Competitive,Outdoors,
Beach volleyball,Competitive,Outdoors,
Breakdancing,Competitive,Outdoors,
Climbing,Competitive,Outdoors,
Cricket,Competitive,Outdoors,
Croquet,Competitive,Outdoors,
Cycling,Competitive,Outdoors,
Disc golf,Competitive,Outdoors,
Dog sport,Competitive,Outdoors,
Equestrianism,Competitive,Outdoors,
Exhibition drill,Competitive,Outdoors,
Field hockey,Competitive,Outdoors,
Figure skating,Competitive,Outdoors,
Fishing,Competitive,Outdoors,
Footbag,Competitive,Outdoors,
Frisbee,Competitive,Outdoors,
Golfing,Competitive,Outdoors,
Handball,Competitive,Outdoors,
Horseback riding,Competitive,Outdoors,
Horseshoes,Competitive,Outdoors,
Iceboat racing,Competitive,Outdoors,
Jukskei,Competitive,Outdoors,
Kart racing,Competitive,Outdoors,
Knife throwing,Competitive,Outdoors,
Lacrosse,Competitive,Outdoors,
Longboarding,Competitive,Outdoors,
Long-distance running,Competitive,Outdoors,
Marching band,Competitive,Outdoors,
Model aircraft,Competitive,Outdoors,
Orienteering,Competitive,Outdoors,
Pickleball,Competitive,Outdoors,
Powerboat racing,Competitive,Outdoors,
Quidditch,Competitive,Outdoors,
Race walking,Competitive,Outdoors,
Racquetball,Competitive,Outdoors,
Radio-controlled car racing,Competitive,Outdoors,
Roller derby,Competitive,Outdoors,
Rugby league football,Competitive,Outdoors,
Sculling or rowing,Competitive,Outdoors,
Shooting sport,Competitive,Outdoors,
Skateboarding,Competitive,Outdoors,
Skiing,Competitive,Outdoors,
Sled dog racing,Competitive,Outdoors,
Softball,Competitive,Outdoors,
Speed skating,Competitive,Outdoors,
Squash,Competitive,Outdoors,
Surfing,Competitive,Outdoors,
Swimming,Competitive,Outdoors,
Table tennis,Competitive,Outdoors,
Tennis,Competitive,Outdoors,
Tennis polo,Competitive,Outdoors,
Tether car,Competitive,Outdoors,
Tour skating,Competitive,Outdoors,
Tourism,Competitive,Outdoors,
Trapshooting,Competitive,Outdoors,
Triathlon,Competitive,Outdoors,
Ultimate frisbee,Competitive,Outdoors,
Volleyball,Competitive,Outdoors,
Water polo,Competitive,Outdoors,
